imgnum,xmin,ymin,xmax,ymax,hasHead
00000000.png,169,408,61,278,1
00000001.png,223,414,86,282,1
00000002.png,186,392,66,291,1
00000003.png,185,416,46,291,1
00000004.png,225,404,76,281,1
00000005.png,232,417,67,275,1
00000006.png,242,389,145,314,1
00000007.png,242,390,145,314,1
00000008.png,228,412,68,277,1
00000009.png,243,388,152,316,1
00000010.png,232,388,126,310,1
00000011.png,192,352,125,318,1
00000012.png,175,404,60,279,1
00000013.png,216,372,125,311,1
00000014.png,226,407,72,278,1
00000015.png,226,406,76,281,1
00000016.png,234,416,69,278,1
00000017.png,183,401,58,276,1
00000018.png,231,403,87,288,1
00000019.png,223,423,54,274,1
00000020.png,211,413,78,277,1
00000021.png,217,401,71,278,1
00000022.png,250,401,129,311,1
00000023.png,221,407,68,277,1
00000024.png,224,437,55,277,1
00000025.png,235,390,126,310,1
00000026.png,221,450,59,278,1
00000027.png,236,391,124,309,1
00000028.png,209,411,54,272,1
00000029.png,230,411,75,280,1
00000030.png,226,406,74,281,1
00000031.png,234,412,74,280,1
00000032.png,216,389,85,286,1
00000033.png,192,400,56,277,1
00000034.png,244,388,150,316,1
00000035.png,173,347,125,326,1
00000036.png,188,392,66,290,1
00000037.png,238,393,124,308,1
00000038.png,189,390,66,290,1
00000039.png,228,430,63,275,1
00000040.png,233,394,115,303,1
00000041.png,173,348,125,327,1
00000042.png,178,410,66,276,1
00000043.png,243,435,72,285,1
00000044.png,237,416,74,280,1
00000045.png,242,447,67,289,1
00000046.png,229,414,90,285,1
00000047.png,189,351,126,320,1
00000048.png,224,406,74,280,1
00000049.png,228,396,93,291,1
00000050.png,219,401,74,281,1
00000051.png,242,448,67,290,1
00000052.png,240,439,68,287,1
00000053.png,171,406,61,278,1
00000054.png,243,388,152,315,1
00000055.png,235,415,74,279,1
00000056.png,193,392,67,287,1
00000057.png,212,414,53,274,1
00000058.png,220,400,78,282,1
00000059.png,177,348,125,324,1
00000060.png,185,416,46,293,1
00000061.png,218,400,74,279,1
00000062.png,187,392,66,291,1
00000063.png,193,391,69,286,1
00000064.png,180,349,118,318,1
00000065.png,177,403,59,278,1
00000066.png,227,384,124,310,1
00000067.png,222,398,74,279,1
00000068.png,234,412,74,280,1
00000069.png,188,391,66,289,1
00000070.png,193,353,126,317,1
00000071.png,211,392,69,280,1
00000072.png,226,411,68,277,1
00000073.png,261,417,127,309,1
00000074.png,199,399,56,272,1
00000075.png,190,352,125,320,1
00000076.png,226,407,72,278,1
00000077.png,240,389,142,314,1
00000078.png,219,395,72,279,1
00000079.png,171,406,61,278,1
00000080.png,241,391,136,313,1
00000081.png,243,436,71,285,1
00000082.png,199,399,56,272,1
00000083.png,230,414,68,279,1
00000084.png,223,446,58,279,1
00000085.png,240,440,68,287,1
00000086.png,241,441,68,287,1
00000087.png,223,423,54,274,1
00000088.png,242,390,141,313,1
00000089.png,227,405,77,281,1
00000090.png,224,408,68,277,1
00000091.png,192,352,125,318,1
00000092.png,213,385,87,288,1
00000093.png,263,416,130,313,1
00000094.png,209,405,60,273,1
00000095.png,194,412,46,283,1
00000096.png,188,392,66,290,1
00000097.png,183,349,125,322,1
00000098.png,176,403,59,277,1
00000099.png,187,415,46,288,1
00000100.png,219,406,67,278,1
00000101.png,223,446,58,279,1
00000102.png,226,381,125,310,1
00000103.png,204,409,51,273,1
00000104.png,196,411,71,276,1
00000105.png,224,442,60,277,1
00000106.png,190,390,68,289,1
00000107.png,263,417,128,311,1
00000108.png,239,416,73,280,1
00000109.png,190,390,68,289,1
00000110.png,226,406,75,280,1
00000111.png,183,417,46,294,1
00000112.png,181,348,125,323,1
00000113.png,233,415,95,285,1
00000114.png,198,355,125,317,1
00000115.png,234,415,74,279,1
00000116.png,245,398,127,311,1
00000117.png,253,403,129,311,1
00000118.png,242,390,145,314,1
00000119.png,259,411,130,312,1
00000120.png,236,396,114,303,1
00000121.png,236,418,69,278,1
00000122.png,205,408,54,274,1
00000123.png,187,391,66,289,1
00000124.png,234,393,116,304,1
00000125.png,220,397,74,279,1
00000126.png,223,408,68,277,1
00000127.png,241,391,139,313,1
00000128.png,227,405,77,281,1
00000129.png,205,406,54,274,1
00000130.png,189,390,66,290,1
00000131.png,187,391,66,289,1
00000132.png,245,398,127,311,1
00000133.png,190,353,111,310,1
00000134.png,223,446,58,279,1
00000135.png,239,434,69,285,1
00000136.png,184,349,117,315,1
00000137.png,239,416,73,280,1
00000138.png,225,397,76,278,1
00000139.png,171,348,125,327,1
00000140.png,240,389,142,314,1
00000141.png,173,347,125,326,1
00000142.png,240,390,140,314,1
00000143.png,215,396,69,277,1
00000144.png,226,381,125,310,1
00000145.png,186,401,58,275,1
00000146.png,200,366,101,300,1
00000147.png,209,405,58,272,1
00000148.png,226,411,68,277,1
00000149.png,238,425,69,280,1
00000150.png,244,446,66,290,1
00000151.png,243,448,68,291,1
00000152.png,229,427,65,274,1
00000153.png,262,413,130,313,1
00000154.png,224,440,55,278,1
00000155.png,228,410,70,277,1
00000156.png,211,394,68,280,1
00000157.png,189,351,126,320,1
00000158.png,224,437,55,277,1
00000159.png,173,348,125,327,1
00000160.png,190,392,67,288,1
00000161.png,240,395,127,310,1
00000162.png,169,409,61,277,1
00000163.png,230,404,86,287,1
00000164.png,262,418,130,312,1
00000165.png,256,406,130,312,1
00000166.png,190,353,111,310,1
00000167.png,183,401,58,276,1
00000168.png,227,405,77,281,1
00000169.png,228,410,70,277,1
00000170.png,221,450,59,278,1
00000171.png,236,397,110,302,1
00000172.png,230,395,102,296,1
00000173.png,238,390,134,312,1
00000174.png,234,413,74,280,1
00000175.png,226,406,75,281,1
00000176.png,225,404,76,281,1
00000177.png,234,415,74,279,1
00000178.png,228,412,68,277,1
